* Denotes afternoon catch,,,,,,,,,
Date Range: 1 January to 31 December 2017,,,,,,,,,
"Locations: Gold Coast, Nth Stradbroke Island, Sunshine Coast, Rainbow Beach, Woongarra Coast (Bundaberg), Tannum Sands, Capricorn Coast, Mackay, Townsville and Cairns",,,,,,,,,
,,,,,,,,,
Species Name,Species Code,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Number Caught
TIGER SHARK,37018022,13/06/2017,Mackay,Lamberts Beach,-21.07493333,149.2318333,1.8,23,1
DUSKY WHALER,37018003,15/06/2017,Gold Coast,Broadbeach,-28.01816667,153.4371667,2.27,20.74,1
COMMON BLACKTIP WHALER,37018039,16/06/2017,Gladstone,Tannum Sands,-23.93221458,151.3708589,1.35,22,1
TIGER SHARK,37018022,17/06/2017,Cairns,Palm Cove,-16.74233807,145.6748978,0.815,22,1
WHITE SHARK,37010003,20/06/2017,Bundaberg,Neilson Park,-24.80742319,152.4660284,2.79,19,1
BULL WHALER,37018021,22/06/2017,Sunshine Coast North,Maroochydore,-26.65248546,153.0920672,1.75,19,1
TIGER SHARK,37018022,24/06/2017,Townsville,Horseshoe Bay,-19.103,146.8597667,1.85,21.5,1
TIGER SHARK,,24/06/2017,Townsville,Alma Bay,-19.14871667,146.87355,2.5,21.5,1
TIGER SHARK,37018022,24/06/2017,Townsville,Florence Bay,-19.1217,146.8853333,1.8,21.5,1
TIGER SHARK,37018022,24/06/2017,Nth Stradbroke Is.,Ocean Beach,-27.43266412,153.5403794,4,21,1
MAKO,37010001,25/06/2017,Gold Coast,Currumbin Beach,-28.12684167,153.4917417,2,20.19,1
COMMON BLACKTIP WHALER,37018039,1/07/2017,Gladstone,Tannum Sands,-23.94015249,151.3768685,1.05,18,1
SPOT-TAIL WHALER,37018013,1/07/2017,Townsville,Nelly Bay,-19.17786667,146.84955,1.09,22,1
TIGER SHARK,37018022,3/07/2017,Townsville,Radical Bay,-19.10761667,146.8752333,2.15,22,1
TIGER SHARK,37018022,3/07/2017,Mackay,South Lamberts,-21.09975,149.228417,1.8,22,1
TIGER SHARK,37018022,3/07/2017,Bundaberg,Kellys Beach,-24.82363832,152.4712789,2.47,19,1
TIGER SHARK,37018022,5/07/2017,Bundaberg,Kellys Beach,-24.8251659,152.4654674,3.47,19,1
BULL WHALER,37018021,6/07/2017,Townsville,Horseshoe Bay,-19.11333333,146.8465833,1.32,22.5,1
TIGER SHARK,37018022,6/07/2017,Townsville,Horseshoe Bay,-19.10445,146.85945,1.19,22.5,1
TIGER SHARK,37018022,6/07/2017,Townsville,Horseshoe Bay,-19.1037,146.85955,1.18,22.5,1
TIGER SHARK,37018022,6/07/2017,Bundaberg,Neilson Park,-24.8006209,152.4619222,3.13,19,1
TIGER SHARK,37018022,7/07/2017,Rainbow Beach,Rainbow Beach,-25.8921133,153.0963486,3.7,21.1,1
TIGER SHARK,37018022,9/07/2017,Mackay,Lamberts Beach,-21.073017,149.2314,2.2,22,1
BULL WHALER,37018021,11/07/2017,Townsville,Florence Bay,-19.1217,146.8853333,1.9,23,1
TIGER SHARK,37018022,12/07/2017,Bundaberg,Kellys Beach,-24.82089316,152.4719906,2.26,19,1
PIGEYE WHALER,37018026,14/07/2017,Cairns,Buchans  ,-16.72555733,145.6631308,2.22,23,1
BULL WHALER,37018021,15/07/2017,Capricorn Coast,Farnborough Beach,-23.12186667,150.7538667,0.88,18,1
COMMON BLACKTIP WHALER,37018039,15/07/2017,Townsville,Florence Bay,-19.1241,146.8852833,1.3,23,1
WHITE SHARK,37010003,20/07/2017,"Sunshine Coast South, QLD",Moffat Beach,26.78564,153.15221,2.56,23,1
TIGER SHARK,37018022,22/07/2017,Cairns,Ellis Beach,-16.71958204,145.6484072,1.885,23,1
TIGER SHARK,37018022,22/07/2017,Cairns,Palm Cove,-16.74218539,145.6749085,1.1,23,1
TIGER SHARK,37018022,22/07/2017,Mackay,Blacks Beach,-21.044383,149.191517,1.9,22,1
TIGER SHARK,37018022,22/07/2017,Mackay,Lamberts Beach,-21.070317,149.2314,2.3,22,1
TIGER SHARK,37018022,23/07/2017,Bundaberg,Neilson Park,-24.80137599,152.4637948,1.81,18,1
BULL WHALER,37018021,24/07/2017,Gladstone,Tannum Sands,-23.94063269,151.3768674,1.758,17.5,1
SCALLOPED HAMMERHEAD,37019001,26/07/2017,Bundaberg,Neilson Park,-24.80775495,152.4657223,2.57,18,1
THRESHER SHARK,37012001,28/07/2017,Mackay,Lamberts Beach,-21.073483,149.231467,2.6,22,1
TIGER SHARK,37018022,28/07/2017,Mackay,Harbour Beach,-21.11875,149.228333,3,22,1
TIGER SHARK,37018022,28/07/2017,Mackay,Harbour Beach,-21.117933,149.228433,3.2,22,1
TIGER SHARK,37018022,28/07/2017,Mackay,South Lamberts,-21.0983,149.228717,3,22,1
GREAT HAMMERHEAD *,37019002,29/07/2017,Sunshine Coast South,Buddina Beach,-26.7009522,153.1425965,3.21,19.07,1
TIGER SHARK,37018022,29/07/2017,Mackay,Harbour Beach,-21.118967,149.2281,2.55,22,1
TIGER SHARK,37018022,29/07/2017,Sunshine Coast South,Caloundra Beach,-26.80870165,153.1480735,3.05,19,1
WEASEL SHARK,37018020,29/07/2017,"Sunshine Coast North, QLD",Noosa,-26.37995373,153.091915,1.94,19.45,1
TIGER SHARK,37018022,1/08/2017,"Townsville, QLD",Horseshoe Bay,-19.1037,146.85955,3.1,22,1
TIGER SHARK,,1/08/2017,"Townsville, QLD",Alma Bay,-19.14871667,146.87355,1.25,22,1
SLIT EYE SHARK,37018005,5/08/2017,Cairns,Clifton,-16.76035224,145.6829349,0.74,23,1
SPOT-TAIL WHALER,37018013,5/08/2017,Townsville,Radical Bay,-19.10761667,146.8752333,0.71,22.5,1
TIGER SHARK,37018022,6/08/2017,Bundaberg,Kellys Beach,-24.82020375,152.4715292,1.57,18,1
TIGER SHARK,37018022,6/08/2017,Bundaberg,Kellys Beach,-24.8176782,152.4717742,2.65,18,1
SCALLOPED HAMMERHEAD,37019000,8/08/2017,Gold Coast,Kirsa Beach,-28.15923613,153.5401569,1.2,19.1,1
TIGER SHARK,37018022,8/08/2017,Bribie Island,Woorim (Bribie Island),27.06511,153.2108,3.55,19,1
TIGER SHARK,37018022,9/08/2017,Mackay,Blacks Beach,-21.046383,149.192867,1.8,22,1
TIGER SHARK,37018022,12/08/2017,Townsville,Alma Bay,-19.15101667,146.8742333,2.65,23,1
SANDBAR WHALER,37018007,15/08/2017,Bundaberg,Neilson Park,-24.8015751,152.4625049,1.53,19,1
TIGER SHARK,37018022,15/08/2017,Bundaberg,Kellys Beach,-24.82671737,152.4710482,1.335,19,1
BLACKTIP REEF WHALER,37018036,18/08/2017,Gladstone,Tannum Sands,-23.94384388,151.3793881,1.1,20,1
TIGER SHARK,37018022,18/08/2017,Mackay,Bucasia Beach,-21.02585,149.167283,2.6,22,1
BULL WHALER,37018021,19/08/2017,Gladstone,Tannum Sands,-23.93598786,151.3733678,1.95,19,1
SCALLOPED HAMMERHEAD,37019001,20/08/2017,Rainbow Beach,Rainbow Beach,-25.90379931,153.0803277,1.23,20.4,1
COMMON BLACKTIP WHALERS,37018039,21/08/2017,Townsville,Alma Baye,-19.15033333,146.8739,1.45,23,1
SCALLOPED HAMMERHEAD,37019001,23/08/2017,Gold Coast,Miami Beach,-28.05806941,153.4512405,1.5,19,1
TIGER SHARK,37018022,23/08/2017,Mackay,Harbour Beach,-21.117933,149.228433,2.8,22,1
TIGER SHARK,37018022,23/08/2017,Bundaberg,Neilson Park,-24.80835476,152.4659416,1.97,19,1
SPOT-TAIL WHALER,37018013,24/08/2017,Townsville,Florence Bay,-19.12251667,146.8853167,0.8,24,1
TIGER SHARK,37018022,26/08/2017,Townsville,Horseshoe Bay,-19.11473333,146.8501833,2.6,24,1
TIGER SHARK,37018022,26/08/2017,"Sunshine Coast North, QLD",Sunrise Beach,-26.41667027,153.1157268,3.56,20.12,1
GREAT HAMMERHEAD,37019002,28/08/2017,Sunshine Coast South,Caloundra Bach,-26.80848333,153.1501833,1.13,20.03,1
TIGER SHARK,37018022,30/08/2017,Gladstone,Tannum Sands,-23.93703019,151.3730843,5.255,18.5,1
TIGER SHARK,37018022,30/08/2017,Bundaberg,Kellys Beach,-24.82042755,152.4719749,3.53,19,1
TIGER SHARK,37018022,1/09/2017,"Mackay, QLD",South Lamberts,-21.099133,149.228483,3.45,22,1
GREAT HAMMERHEAD *,37019002,5/09/2017,Gold Coast,Main Beach,-27.96707849,153.4362401,1.62,21,1
PIGEYE WHALER,37018026,5/09/2017,Townsville,Horseshoe Bay,-19.10445,146.85945,2,25,1
SPOT-TAIL WHALER,37018013,5/09/2017,Townsville,Picnic Bay,-19.18248333,146.8437833,1.05,25,1
BULL WHALER,37018021,6/09/2017,Mackay,Bucasia Beach,-21.020983,149.161317,2.03,21,1
TIGER SHARK,37018022,6/09/2017,Mackay,Harbour Beach,-21.121933,149.227417,3.05,22,1
TIGER SHARK,37018022,7/09/2017,Bundaberg,Neilson Park,-24.80266684,152.463046,3.75,20,1
TIGER SHARK,37018022,8/09/2017,Mackay,Harbour Beach,-21.117933,149.228433,2.85,23,1
BLACKTIP REEF WHALER *,37018036,9/09/2017,Gladstone,Tannum Sandz,-23.94270005,151.3780438,1,19,1
SCALLOPED HAMMERHEAD,37019001,9/09/2017,Gold Coast,Burleigh Beach,-27.83349245,153.3018295,1,20.78,1
HAMMERHEAD SHARK *,37019000,10/09/2017,Nth Stradbroke Is.,Ocean Beach,-27.44047486,153.5507486,1.2,20,1
TIGER SHARK,37018022,10/09/2017,Bundaberg,Bargara Beach,-24.81067131,152.4668379,2.15,20,1
TIGER SHARK,37018022,12/09/2017,Capricorn Coast,Emu Park,-23.2621,150.8323833,2.34,21,1
BULL WHALER,37018021,14/09/2017,Bundaberg,Neilson Park,-24.80061173,152.4609586,1.72,20,1
TIGER SHARK,37018022,14/09/2017,Bundaberg,Kellys Beach,-24.8176699,152.4722476,2.68,20,1
TIGER SHARK,37018022,15/09/2017,Sunshine Coast North,Sunshine Beach,-26.40633635,153.1286951,2.83,20.14,1
BULL WHALERS,37018021,16/09/2017,Rainbow Beach,Rainbow Beach,-25.90379931,153.0803277,1.84,20.35,1
TIGER SHARK,37018022,17/09/2017,Mackay,Lamberts Beach,-21.0728333,149.231567,3.3,23,1
BLACKTIP REEF WHALER,37018036,18/09/2017,Gladstone,Tannum Sandz,-23.94109219,151.3769049,1.25,19.5,1
GREAT HAMMERHEAD,37019002,18/09/2017,Townsville,Alma Baye,-19.14753333,146.8737167,1.7,24,1
COMMON BLACKTIP WHALER,37018039,19/09/2017,Townsville,Nelly Bay,-19.16765,146.8535667,1.8,24,1
GREY NURSE SHARK,37008001,19/09/2017,Rainbow Beach,Rainbow Beach,-25.90386095,153.0802487,2.1,20.8,1
TIGER SHARK,37018022,19/09/2017,Sunshine Coast South,Caloundra Beach,-26.80789812,153.1470634,3.48,19,1
BULL WHALER,37018021,20/09/2017,Mackay,Eimeo Beach,-21.031,149.1822,1.7,22,1
TIGER SHARK,37018022,20/09/2017,Cairns,Ellis Beach,-16.72092277,145.6497048,3.3,23,1
TIGER SHARK,37018022,21/09/2017,Bundaberg,Neilson Park,-24.75792324,152.4795821,2.275,21,1
GRACEFUL WHALER,37018033,22/09/2017,Townsville,The Strand,-19.24068333,146.8128333,1.1,25,1
TIGER SHARK,37018022,27/09/2017,Mackay,Eimeo Beach,-21.030767,149.180683,2.4,23,1
TIGER SHARK,37018022,27/09/2017,Bundaberg,Neilson Park,-24.80087953,152.4613679,3.43,21,1
TIGER SHARK,37018022,27/09/2017,Sunshine Coast North,Noosa,-26.37765822,153.0960027,3.45,23,1
SANDBAR WHALER,37018007,28/09/2017,Gladstone,Tannum Sands,-23.94528218,151.3796681,2.2,22,1
TIGER SHARK,37018022,28/09/2017,Gladstone,Tannum Sands,-23.93501908,151.3740423,2.4,22,1
TIGER SHARK,37018022,28/09/2017,Gladstone,Tannum Sands,-23.94579712,151.3846349,2.5,22,1
TIGER SHARK,37018022,29/09/2017,Sunshine Coast South,Buddina Beach,-26.70470507,153.1492882,2.61,23,1
TIGER SHARK,37018022,30/09/2017,Nth Stradbroke Is.,Ocean Beach,-27.46475154,153.5363453,1.6,22,1
BULL WHALER,37018021,3/10/2017,Capricorn Coast,Tanby Point,-23.23103333,150.8251667,0.93,22,1
SCALLOPED HAMMERHEAD,37019001,4/10/2017,Gold Coast,Surfers Paradise,-27.99832409,153.4381834,1.1,20.78,1
SCALLOPED HAMMERHEAD,37019001,4/10/2017,Gold Coast,Mermaid Beach,-28.04089129,153.4463882,1.2,20.78,1
SCALLOPED HAMMERHEAD,37019001,4/10/2017,Gold Coast,Kirra Beach,-28.15830214,153.5317046,1.3,20.5,1
BULL WHALER,37018021,5/10/2017,Capricorn Coast,Emu Park,-23.248,150.8315167,1.13,22,1
LONG NOSE WHALER,37018023,5/10/2017,Gold Coast,Burleigh Beach,-28.08191413,153.4596203,1.2,21.02,1
BULL WHALER,37018021,6/10/2017,Mackay,Lamberts Beach,-21.073017,149.2314,2.2,23,1
COMMON BLACKTIP WHALER,37018039,6/10/2017,Gladstone,Tannum Sands,-23.93493455,151.3721048,0.9,23,1
HAMMERHEAD SHARK *,37019000,6/10/2017,Nth Stradbroke Is.,Ocean Beach,-27.45814639,153.5401632,1.1,23.5,1
TIGER SHARK,37018022,6/10/2017,Townsville,Radical Bay,-19.10861667,146.8771667,1.95,26,1
BULL WHALER,37018021,7/10/2017,Rainbow Beach,Rainbow Beach,-25.88229918,153.0817213,1.62,21,1
LONG NOSE WHALER,37018023,7/10/2017,Townsville,Nelly Bay,-19.17786667,146.84955,1.65,26.5,1
TAWNY SHARK,37013010,7/10/2017,Cairns,Trinity,-16.77469129,145.6999453,2.1,26,1
TIGER SHARK,37018022,7/10/2017,Sunshine Coast North,Noosa,-26.36938612,153.1111299,3.65,21.91,1
SCALLOPED HAMMERHEAD,37019001,8/10/2017,Gold Coast,Tallebudgera Beach,-28.08335221,153.4597954,1.1,21.58,1
COMMON BLACKTIP WHALER,37018039,10/10/2017,Gladstone,Tannum Sands,-23.9348747,151.3720751,0.9,24,1
GREAT HAMMERHEAD,37019002,10/10/2017,Sunshine Coast North,Maroochydore,-26.65862753,153.1110229,1.435,23,1
SCALLOPED HAMMERHEAD,37019001,10/10/2017,Gold Coast,Miami Beach,-28.06672436,153.4547525,1.2,21.34,1
PIGEYE WHALER,37018026,11/10/2017,Bundaberg,Kellys Beach,-24.81919868,152.4721487,1.66,23,1
SCALLOPED HAMMERHEAD,37019001,11/10/2017,Gold Coast,Mermaid Beach,-28.03927668,153.4455367,1.4,22.16,1
TIGER SHARK,37018022,12/10/2017,Capricorn Coast,Emu Park,-23.2646,150.8319167,3.67,23,1
SCALLOPED HAMMERHEAD,37019001,13/10/2017,Bundaberg,Neilson Park,-24.80423325,152.4639286,2.14,23,1
SCALLOPED HAMMERHEAD,37019001,13/10/2017,Gold Coast,Kirta Beach,-28.15816086,153.5356626,1.15,21.71,1
SCALLOPED HAMMERHEAD,37019001,13/10/2017,Gold Coast,Kirta Beach,-28.15816086,153.5356626,1.2,21.71,1
TIGER SHARK,37018022,13/10/2017,Sunshine Coast North,Noosa,-26.37025523,153.1100417,2.94,22.41,1
TIGER SHARK,37018022,14/10/2017,Mackay,South Lamberts,-21.099133,149.228483,3.5,24,1
TIGER SHARK,37018022,14/10/2017,Sunshine Coast North,Mudjimba Beach,-26.61408953,153.1053398,2.95,22.41,1
BULL WHALER,37018021,16/10/2017,Townsville,Florence Bay,-19.1241,146.8852833,2,27,1
BULL WHALER,37018021,20/10/2017,Sunshine Coast North,Maroochydore,-26.67366894,153.1226558,1.45,22.78,1
BULL WHALER,37018021,20/10/2017,Sunshine Coast North,Maroochydore,-26.67366894,153.1226558,1.53,22.78,1
BULL WHALER,37018021,21/10/2017,Townsville,Picnic Bay,-19.18293333,146.84455,1.8,26,1
BULL WHALER,37018021,21/10/2017,Townsville,Florence Bay,-19.12505,146.8852,1.21,26,1
BULL WHALER,37018021,21/10/2017,Capricorn Coast,Fishermans Beach,-23.2441,150.8277,1,23,1
BULL WHALER,37018021,21/10/2017,Sunshine Coast North,Noosa,-26.3793356,153.0908551,1.58,21.89,1
LONG NOSE WHALER,37018023,21/10/2017,Gold Coast,Main Beach,-27.97338298,153.4346669,1.6,21.87,1
LONG NOSE WHALER,37018023,21/10/2017,Gold Coast,Currumbin Beach,-28.12844002,153.4934805,1.72,21.87,1
MILK SHARK,37018006,23/10/2017,Townsville,Horseshoe Bay,-19.10221667,146.85995,0.74,26,1
TIGER SHARK,37018022,23/10/2017,Townsville,Florence Bay,-19.1217,146.8853333,1.5,26,1
TIGER SHARK,37018022,23/10/2017,Townsville,Florence Bay,-19.1217,146.8853333,3.4,26,1
TIGER SHARK,37018022,23/10/2017,Nth Stradbroke Is.,Amity Point,-27.3839727,153.433765,3,20.5,1
PIGEYE WHALER,37018026,24/10/2017,Townsville,Radical Bay,-19.10796667,146.8759,2.05,26.5,1
GREY NURSE SHARK,37008001,25/10/2017,Sunshine Coast North,Marcoola Beach,-26.58481291,153.0990649,2.91,21.94,1
GREY NURSE SHARK,37008001,25/10/2017,Sunshine Coast North,Maroochydore,-26.65862753,153.1110229,1.65,21.93,1
SCALLOPED HAMMERHEAD,37019001,25/10/2017,Gold Coast,Tallebudgera Beach,-28.10025465,153.4725669,1.2,22.16,1
SPOT-TAIL WHALER,37018013,26/10/2017,Townsville,Florence Bay,-19.1217,146.8853333,1.15,26,1
LONG NOSE WHALER,37018023,28/10/2017,Gold Coast,Palm Beach,-28.11457287,153.4787896,1.03,22.69,1
TAWNY SHARK,37013010,28/10/2017,Mackay,Harbour Beach,-21.117817,149.227083,1.9,27,1
TIGER SHARK,37018022,28/10/2017,Townsville,Palarenda Beach,-19.19758333,146.7773833,2.1,26.5,1
TIGER SHARK,37018022,28/10/2017,Townsville,Alma Bay,-19.14753333,146.8737167,3.15,26.5,1
TIGER SHARK,37018022,28/10/2017,Sunshine Coast North,Noosa,-26.3697431,153.1114293,1.45,21.36,1
PIGEYE WHALER,37018026,30/10/2017,Gladstone,Tannum Sands,-23.9448109,151.3799877,2.42,22.5,1
WOBBEGONG *,37013900,31/10/2017,Gladstone,Tannum Sands,-23.9339076,151.3714531,1.985,23.5,1
WOBBEGONG *,37013900,31/10/2017,Gladstone,Tannum Sands,-23.93712311,151.3739694,1.7,23.5,1
MAKO,37010001,1/11/2017,Gold Coast,Tallebudgera Beach,-28.09481667,153.474325,3.02,21.3,1
BULL WHALER,37018021,2/11/2017,Bundaberg,Neilson Park,-24.80654196,152.4651796,1.87,24,1
BULL WHALER,37018021,2/11/2017,Bundaberg,Kellys Beach,-24.82150404,152.4715669,2.24,24,1
BLACKTIP REEF WHALER,37018036,3/11/2017,Mackay,South Lamberts,-21.09975,149.228417,1.1,24,1
COMMON BLACKTIP WHALERS,37018039,3/11/2017,Cairns,Buchans  ,-16.72555733,145.6631308,0.82,26,1
TIGER SHARK,37018022,3/11/2017,Sunshine Coast South,Wurtulla Beach,26.74759,153.14227,2.005,22.61,1
GRACEFUL WHALER,37018033,6/11/2017,Townsville,Radical Bay,-19.10861667,146.8771667,1.23,28,1
BULL WHALER,37018021,7/11/2017,Capricorn Coast,Fishermans Beach,-23.24518333,150.8277167,1,24,1
TIGER SHARK,37018022,7/11/2017,Bundaberg,Kellys Beach,-24.82025057,152.472261,2.91,24,1
TIGER SHARK,37018022,7/11/2017,Nth Stradbroke Is.,Flinders Beach,-27.41113648,153.4902526,2.5,23,1
SCALLOPED HAMMERHEAD,37019001,9/11/2017,Gold Coast,Tallebudgera Beach,-28.09894473,153.4713467,1.3,21.91,1
BULL WHALER,37018021,14/11/2017,Townsville,Radical Bay,-19.10861667,146.8771667,1.25,27,1
LONG NOSE WHALER,37018023,14/11/2017,Townsville,Horseshoe Bay,-19.103,146.8597667,1.65,27,1
MILK SHARK,37018006,14/11/2017,Townsville,Horseshoe Bay,-19.103,146.8597667,0.6,27,1
AUSTRALIAN BLACKTIP,37018014,15/11/2017,Gladstone,Tannum Sands,-23.93489566,151.3720159,0.897,23,1
SCALLOPED HAMMERHEAD,37019001,15/11/2017,Gold Coast,Mermaid Beach,-28.03176809,153.4424651,1.25,23.68,1
TIGER SHARK,37018022,15/11/2017,Gold Coast,Rainbow Bay,-28.15843923,153.5440101,2.13,23.95,1
BULL WHALER,37018021,16/11/2017,Gladstone,Tannum Sands,-23.93951907,151.3759919,1.15,22,1
LONG NOSE WHALER,37018023,16/11/2017,Sunshine Coast North,Twin Waters Resort,26.63185,153.1058,1.435,24,1
SCALLOPED HAMMERHEAD,37019001,16/11/2017,Bundaberg,Kellys Beach,-24.82139063,152.4718313,2.46,23,1
BULL WHALER,37018021,17/11/2017,Mackay,South Lamberts,-21.0967,149.2292,1.85,25,1
BULL WHALER,37018021,18/11/2017,Townsville,Horseshoe Bay,-19.10221667,146.85995,0.19,27,1
BULL WHALER,37018021,20/11/2017,Gladstone,Tannum Sands,-23.93883595,151.3759048,0.9,23,1
TAWNY SHARK,37013010,20/11/2017,Townsville,Alma Bay,-19.14753333,146.8737167,2.3,29,1
SPOT-TAIL WHALER,37018013,22/11/2017,Cairns,Buchans  ,-16.72634691,145.6635282,1.06,26,1
TIGER SHARK,37018022,23/11/2017,Nth Stradbroke Is.,Cylinder Beach,-27.41491341,153.5073699,2,23,1
WEASEL SHARK,37018020,23/11/2017,Sunshine Coast North,Coolum Beach,-26.5326575,153.0980525,1.45,21.88,1
GREAT HAMMERHEAD,37019002,24/11/2017,Gold Coast,Burleigh Beach,-28.07924793,153.4570983,2.56,23.3,1
COMMON BLACKTIP WHALER,37018039,25/11/2017,Townsville,Florence Bay,-19.12328333,146.8853167,1.4,27,1
TIGER SHARK,37018022,25/11/2017,Townsville,Radical Bay,-19.10796667,146.8759,2.6,27,1
TIGER SHARK,37018022,25/11/2017,Townsville,Florence Bay,-19.1241,146.8852833,2.5,27,1
TIGER SHARK,37018022,25/11/2017,Sunshine Coast North,Sunshine Beach,26.40704,153.11769,2.42,24,1
TAWNY SHARK,37013010,26/11/2017,Mackay,Lamberts Beach,-21.07125,149.231383,2.25,27,1
SHARPTOOTH SHARK,37018029,29/11/2017,Townsville,Horseshoe Bay,-19.1126,146.8450333,2.7,28,1
SPOT-TAIL WHALER,37018013,30/11/2017,Townsville,Horse Shoe Bay,-19.11523333,146.8516333,1.04,28,1
BLACKTIP REEF WHALER,37018036,1/12/2017,"Mackay, QLD",Harbour Beach,-21.120283,149.226433,1.45,26,1
BLACKTIP REEF WHALER *,37018036,2/12/2017,Mackay,Blacks Beach,-21.04475,149.191867,1.6,26,1
TIGER SHARK,37018022,2/12/2017,Bundaberg,Kellys Beach,-24.82510813,152.4706246,3.47,24,1
BLACKTIP REEF WHALER*,37018036,4/12/2017,Cairns,Ellis Beach,-16.72105654,145.649557,1.044,28,1
SPOT-TAIL WHALER,37018013,4/12/2017,Townsville,Alma Bay,-19.15188333,146.8744,1.06,28,1
TIGER SHARK,37018022,4/12/2017,Cairns,Yorkeys,-16.80699666,145.7313031,3.8,28,1
BLUE SHARK,37018004,5/12/2017,"Sunshine Coast North, QLD",Noosa,-26.37976035,153.0920205,2.05,24,1
BULL WHALER,37018021,5/12/2017,Sunshine Coast North,Noosa,-26.37976035,153.0920205,1.345,24,1
BULL WHALER,37018021,5/12/2017,Sunshine Coast North,Alexandra Headland,-26.66495939,153.1137766,1.45,22.7,1
GREAT HAMMERHEAD,37019002,5/12/2017,Gold Coast,Miami Beach,-28.07041856,153.4525286,2.8,22.74,1
BULL WHALER,37018021,9/12/2017,Capricorn Coast,Emu Park,-23.2621,150.8323833,0.96,23,1
BULL WHALER,37018021,9/12/2017,Rainbow Beach,Rainbow Beach,-25.88229918,153.0817213,1.65,24,1
SCALLOPED HAMMERHEAD,37019001,11/12/2017,Gold Coast,Bilinga Beach,-28.13760814,153.5002036,1.32,23.95,1
TIGER SHARK,37018022,12/12/2017,Rainbow Beach,Rainbow Beach,-25.90756714,153.0891165,1.6,23.8,1
TIGER SHARK,37018022,12/12/2017,Gold Coast,Rainbow Bay,-28.1581293,153.541601,2.2,23.95,1
SPOT-TAIL WHALER,37018013,13/12/2017,Townsville,Florence Bay,-19.12505,146.8852,1.5,29,1
BULL WHALER,37018021,14/12/2017,Gladstone,Tannum Sands,-23.94993811,151.3487752,1,24,1
SPOT-TAIL WHALER,37018013,15/12/2017,Townsville,Horseshoe Bay,-19.10445,146.85945,1.05,29,1
SPOT-TAIL WHALER,37018013,15/12/2017,Townsville,Alma Bay,-19.14955,146.87355,1.12,29,1
TIGER SHARK,37018022,15/12/2017,Townsville,Alma Bay,-19.15101667,146.8742333,1.85,29,1
BULL WHALER,37018021,18/12/2017,Capricorn Coast,Fishermans Beach,-23.2441,150.8277,0.93,23,1
TIGER SHARK,37018022,18/12/2017,Bundaberg,Kellys Beach,-24.82583333,152.4715333,2.1,26,1
AUSTRALIAN BLACKTIP,37018014,19/12/2017,"Capricorn Coast, QLD",Emu Park,-23.25321667,150.8348833,0.76,24,1
BLACKTIP REEF WHALER,37018036,19/12/2017,Mackay,Harbour Beach,-21.117817,149.227083,1.4,26,1
LONG NOSE WHALER,37018023,19/12/2017,Gold Coast,Burleigh Beach,-28.08974425,153.464542,1,25.24,1
TIGER SHARK,37018022,19/12/2017,Cairns,Ellis Beach,-16.71944617,145.6484981,2.2,28,1
LONG NOSE WHALER,37018023,20/12/2017,Rainbow Beach,Rainbow Beach,-25.89459167,153.0954917,0.95,25,1
TIGER SHARK,37018022,21/12/2017,Sunshine Coast North,Sunshine Beach,-26.3982909,153.1242829,2.31,25.57,1
WEASEL SHARK,37018020,21/12/2017,Sunshine Coast North,Noosa,-26.38004563,153.0928204,1.45,27.78,1
BULL WHALER,37018021,23/12/2017,Gold Coast,Miami Beach,-28.06665085,153.4505329,2.55,23.38,1
SCALLOPED HAMMERHEAD,37019001,23/12/2017,Gold Coast,Burleigh Beach,-28.07300768,153.4532397,1.22,23.26,1
SPOT-TAIL WHALER,37018013,23/12/2017,Townsville,Alma Bay,-19.14955,146.87355,1.13,29,1
TIGER SHARK,37018022,23/12/2017,Townsville,The Strand,-19.2435,146.8157833,2.2,29,1
TIGER SHARK,37018022,23/12/2017,Townsville,Florence Bay,-19.12328333,146.8853167,1.9,29,1
BULL WHALER,37018021,25/12/2017,Mackay,Eimeo Beach,-21.030767,149.180683,2.7,27,1
TIGER SHARK,37018022,25/12/2017,Gold Coast,Kirra Beach,-28.15951471,153.5369022,2.9,23.99,1
GREAT HAMMERHEAD,37019002,26/12/2017,Rainbow Beach,Rainbow Beach,-25.89459167,153.0954917,1.79,25.2,1
LONG NOSE WHALER,37018023,26/12/2017,Rainbow Beach,Rainbow Beach,-25.897025,153.0968333,0.92,26,1
TIGER SHARK,37018022,26/12/2017,Mackay,Harbour Beach,-21.117933,149.228433,1.2,27,1
TIGER SHARK,37018022,26/12/2017,Bundaberg,Neilson Park,-24.80022943,152.4607722,3.24,26,1
TIGER SHARK,37018022,26/12/2017,Rainbow Beach,RAINBOW B,-25.896,153.0994667,1.61,25.2,1
SPOT-TAIL WHALER,37018013,28/12/2017,Townsville,Horseshoe Bay,-19.10445,146.85945,1.05,30,1
SPOT-TAIL WHALER,37018013,30/12/2017,Townsville,Florence Bay,-19.12505,146.8852,1.05,30,1
TIGER SHARK,37018022,30/12/2017,Cairns,Buchans  ,-16.72611682,145.6636084,3.529,29,1
TIGER SHARK,37018022,30/12/2017,Gold Coast,Palm Beach,-27.89202739,153.3957397,2.34,25,1
Total,,,,,,,,,455
